Date,OutletID,OutletName,CashierID,CashierName,TransactionID,PaymentType,AmountKES,ItemCode,ItemName,Category,Quantity,UnitPriceKES,TotalPriceKES,CostPriceKES,ProfitKES,PrescriptionRequired,ExpiryDate,StockLevelBefore,StockLevelAfter,Voided,DiscountPercent
2024-07-04 14:20:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10571,Cash,560.0,MED020,Eye Drops 10ml,Ophthalmic,2,280,560.0,340,220.0,No,2024-12-31 14:20:00,195,193,No,0.0
2024-07-04 15:22:00,OUT001,Nairobi CBD,C002,Peter Omondi,TXN10193,M-Pesa,160.0,MED018,BP Monitor Battery,Equipment,1,200,160.0,120,40.0,No,2024-12-31 15:22:00,143,142,No,20.0
2024-07-04 15:31:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10650,M-Pesa,80.0,MED002,Ibuprofen 400mg,Painkillers,1,80,80.0,50,30.0,No,2024-12-31 15:31:00,198,197,No,0.0
2024-07-04 20:53:00,OUT002,Mombasa Nyali,C004,Hassan Ali,TXN10709,M-Pesa,60.0,MED008,Cetirizine 10mg,Allergy,1,60,60.0,35,25.0,No,2025-07-04 20:53:00,147,146,No,0.0
2024-07-04 21:31:00,OUT003,Kisumu Mega,C008,James Kiprop,TXN11208,M-Pesa,50.0,MED001,Paracetamol 500mg,Painkillers,1,50,50.0,30,20.0,No,2024-12-31 21:31:00,110,109,No,0.0
2024-07-05 08:27:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10031,M-Pesa,280.0,MED020,Eye Drops 10ml,Ophthalmic,1,280,280.0,170,110.0,No,2025-07-05 08:27:00,180,179,No,0.0
2024-07-05 09:38:00,OUT002,Mombasa Nyali,C005,Fatma Said,TXN10770,M-Pesa,900.0,MED010,Multivitamin Plus,Vitamins,2,450,900.0,560,340.0,No,2026-07-05 09:38:00,144,142,No,0.0
2024-07-05 10:45:00,OUT001,Nairobi CBD,C001,Jane Wanjiku,TXN10635,M-Pesa,2250.0,MED010,Multivitamin Plus,Vitamins,5,450,2250.0,1400,850.0,No,2025-07-05 10:45:00,113,108,No,0.0
2024-07-05 11:47:00,OUT002,Mombasa Nyali,C006,Kevin Otieno,TXN10484,M-Pesa,500.0,MED001,Paracetamol 500mg,Painkillers,10,50,500.0,300,200.0,No,2024-08-19 11:47:00,21,11,No,0.0
2024-07-05 12:06:00,OUT003,Kisumu Mega,C009,Mary Nekesa,TXN10433,Cash,120.0,MED008,Cetirizine 10mg,Allergy,2,60,120.0,70,50.0,No,2025-07-05 12:06:00,160,158,No,0.0
